A,B,C
93,86,1
53,42,0
15,24,1
47,79,1
87,30,1
76,67,1
79,53,1
85,7,1
59,30,1
31,3,1
43,10,1
10,31,1
16,74,1
6,92,1
59,74,1
38,28,1
19,55,1
8,86,1
53,92,1
54,36,0
83,3,1
87,46,1
9,3,1
68,0,1
85,55,1
48,17,1
79,68,1
52,98,1
38,99,1
97,29,1
33,5,1
57,15,1
74,37,1
7,36,1
85,10,1
52,3,1
35,57,0
35,33,0
19,25,1
13,38,1
61,48,0
1,48,1
10,66,1
29,66,1
98,83,1
13,5,1
47,73,1
25,99,1
99,51,1
63,18,1
67,59,0
85,36,1
47,53,0
54,24,1
55,53,0
9,87,1
95,67,1
81,22,1
95,82,1
30,13,1
39,34,0
63,20,1
30,70,1
68,57,0
14,59,1
5,25,1
79,23,1
20,82,1
52,88,1
0,27,1
1,36,1
85,15,1
50,3,1
38,50,0
95,60,1
53,34,0
5,71,1
40,27,1
42,87,1
28,28,1
65,76,1
36,65,0
36,50,0
46,76,1
5,32,1
28,49,1
27,58,1
39,94,1
99,69,1
25,91,1
25,70,1
41,12,1
59,65,0
61,14,1
81,82,1
22,56,1
19,87,1
90,8,1
35,92,1
18,60,1
